,blk_kick,blk_kick_ret_yd,cmp_pct,def_pass_def,def_snp,def_td,ff,fg_blkd,fga,fgm,fgm_lng,fgm_pct,fum,fum_lost,fum_rec,fum_ret_yd,gms_active,gp,gs,int,int_ret_yd,kr,kr_lng,kr_td,kr_yd,kr_ypa,off_snp,pass_2pt,pass_att,pass_cmp,pass_int,pass_lng,pass_rtg,pass_sack,pass_sack_yds,pass_td,pass_yd,pass_ypa,pass_ypc,pr,pr_lng,pr_td,pr_yd,pr_ypa,pts_allow,pts_ppr,pts_std,punt_avg,punt_blkd,punt_in_20,punt_net_avg,punt_net_yd,punt_tb,punt_yds,punts,qb_hit,rec,rec_2pt,rec_lng,rec_pct,rec_td,rec_tgt,rec_yd,rec_ypr,rec_ypt,rush_2pt,rush_att,rush_lng,rush_td,rush_yd,rush_ypa,sack,sack_yd,safe,safe_allow,st_ff,st_fum_rec,st_snp,st_td,st_tkl_solo,tkl,tkl_ast,tkl_loss,tkl_solo,tm_def_snp,tm_off_snp,tm_st_snp,xp_blkd,xpa,xpm,year
6343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
3199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
6487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
2355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
257,,,,4.0,280.0,1.0,,,,,,,,,1.0,,16.0,16.0,2.0,1.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,33.9,33.9,,,,,,,,,2.0,,,,,,,,,,,,,,,,0.5,4.0,,,,1.0,396.0,,10.0,27.0,5.0,,12.0,1106.0,1079.0,399.0,,,,2013
1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
3210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
4148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
5781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
4211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
WAS,,,,63.0,,5.0,11.0,,,,,,,,9.0,46.0,,,,16.0,247.0,51.0,39.0,,1018.0,,,,,,,,,,,,,,,35.0,34.0,,225.0,,478.0,,100.0,,,,,,,,,69.0,,,,,,,,,,,,,,,,36.0,238.0,,,,,,,,,324.0,77.0,617.0,,,,,,,2013
1294,,,,,236.0,,,,,,,,,,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,15.0,6.0,,9.0,1054.0,1070.0,389.0,,,,2013
2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
256,,,,,,,,,29.0,23.0,54.0,79.3,,,,,16.0,16.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,1043.0,1036.0,363.0,,31.0,31.0,2013
1216,2.0,,,,,,,,,,,,,,1.0,-3.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,320.0,,17.0,22.0,,,1.0,1082.0,1084.0,342.0,,,,2013
1154,,,,,,,,,,,,,,,,,6.0,6.0,3.0,,,,,,,,188.0,,,,,,,,,,,,,1.0,4.0,,4.0,4.0,,16.5,8.5,,,,,,,,,,8.0,,22.0,57.1,,14.0,85.0,10.6,6.1,,,,,,,,,,,,,5.0,,,,,,,524.0,572.0,200.0,,,,2013
4981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
4440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
4614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
4237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
3573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
1191,,,,7.0,552.0,,1.0,,,,,,1.0,1.0,1.0,,16.0,16.0,6.0,1.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,49.0,49.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,242.0,,2.0,41.0,12.0,1.0,27.0,972.0,1127.0,393.0,,,,2013
1080,,,,2.0,400.0,,,,,,,,,,1.0,,15.0,15.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,35.6,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,6.0,,,,,28.0,,,33.0,18.0,2.0,15.0,1150.0,1106.0,344.0,,,,2013
2383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
6374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
6160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
1707,,,100.0,,,,,,,,,,,,,,16.0,16.0,,,,,,,,,1.0,,1.0,1.0,,11.0,152.08,,,1.0,11.0,11.0,11.0,,,,,,,5.44,5.44,43.8,1.0,28.0,38.0,3194.0,5.0,3679.0,84.0,,,,,,,,,,,,,,,,,,,,,,,159.0,,3.0,3.0,,,,1150.0,1106.0,344.0,,1.0,1.0,2013
199,,,,,,,,,,,,,,,,,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,,4.0,6.0,,,,1074.0,1036.0,361.0,,,,2013
929,,,,10.0,464.0,,,,,,,,,,,,16.0,16.0,5.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,45.1,45.1,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,6.0,,,,,331.0,,11.0,43.0,5.0,1.0,25.0,1050.0,1122.0,411.0,,,,2013
4218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
2446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
6333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
2653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
1369,,,,,,,,,,,,,,,,,16.0,16.0,8.0,,,1.0,15.0,,15.0,15.0,371.0,,,,,,,,,,,,,,,,,,,24.1,13.1,,,,,,,,,,11.0,,21.0,68.8,,16.0,69.0,6.3,4.3,,17.0,8.0,,62.0,3.6,,,,,,,85.0,,,,,,,1102.0,1051.0,406.0,,,,2013
5527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
4720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
909,,,,1.0,191.0,,,,,,,,,,,,16.0,16.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.0,,9.0,42.0,7.0,1.0,23.0,1127.0,1026.0,406.0,,,,2013
4712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
789,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,651.0,603.0,215.0,,,,2013
3443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
3364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
4861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
5076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
6631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
4522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
1196,,,,3.0,441.0,,1.0,,,,,,,,1.0,,16.0,16.0,5.0,3.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,52.0,52.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,210.0,,2.0,40.0,8.0,,29.0,1043.0,1036.0,363.0,,,,2013
6031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
1583,,,,20.0,645.0,1.0,1.0,,,,,,,,1.0,,16.0,16.0,6.0,3.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,80.5,80.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,215.0,,3.0,44.0,3.0,,38.0,1106.0,1079.0,399.0,,,,2013
533,,,100.0,,,,,,,,,,,,,,16.0,4.0,,,,,,,,,22.0,,1.0,1.0,,13.0,118.75,,,,13.0,13.0,13.0,,,,,,,-0.08,-0.08,,,,,,,,,,,,,,,,,,,,6.0,,,-6.0,-1.0,,,,,,,,,,,,,,1060.0,991.0,360.0,,,,2013
1450,,,100.0,,,,,,,,,,,,,,15.0,15.0,4.0,,,3.0,31.0,,75.0,25.0,601.0,,1.0,1.0,,21.0,158.33,,,1.0,21.0,21.0,21.0,25.0,17.0,,140.0,5.6,,110.64,59.64,,,,,,,,,,51.0,,51.0,58.6,1.0,87.0,484.0,9.5,5.6,,2.0,4.0,,4.0,2.0,,,,,,,63.0,,1.0,1.0,,,,1121.0,1057.0,410.0,,,,2013
6526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
2316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
1275,,,,,,,,,,,,,1.0,1.0,,,2.0,2.0,1.0,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,24.9,18.9,,,,,,,,,,6.0,,31.0,100.0,,6.0,76.0,12.7,12.7,,21.0,12.0,1.0,73.0,3.5,,,,,,,7.0,,1.0,1.0,,,,143.0,126.0,45.0,,,,2013
3260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
4244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
5682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
4376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
3605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
3891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
5990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
4097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
916,,,,,330.0,,,,,,,,,,,,12.0,12.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,25.8,,,,,,,,,3.0,,,,,,,,,,,,,,,,2.0,8.0,,,,,40.0,,,22.0,10.0,1.0,12.0,736.0,865.0,278.0,,,,2013
1572,,,,9.0,1033.0,1.0,5.0,,,,,,,,,,16.0,16.0,16.0,1.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,152.4,152.4,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.5,9.0,,,,,81.0,,,117.0,23.0,9.0,94.0,1065.0,1004.0,313.0,,,,2013
4072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
577,,,,,8.0,,,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,289.0,,7.0,8.0,,,,1140.0,997.0,344.0,,,,2013
6254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
5661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
484,,,,,,,,,,,,,,,,,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9,,25.0,38.2,3476.0,7.0,4271.0,91.0,,,,,,,,,,,,1.0,,,,,,,,,,,151.0,,,,,,,1127.0,1026.0,406.0,,,,2013
4423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
2448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
4089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
1168,,,,,,,,,,,,,,,,,16.0,13.0,,,,1.0,5.0,,5.0,5.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,1021.0,1144.0,377.0,,,,2013
ARI,2.0,,,103.0,,5.0,11.0,,,,,,,,10.0,57.0,,,,20.0,251.0,27.0,46.0,,540.0,,,,,,,,,,,,,,,34.0,22.0,,206.0,,324.0,,166.0,,,,,,,,,110.0,,,,,,,,,,,,,,,,47.0,336.0,2.0,,,,,,,,110.0,92.0,686.0,,,,,,,2013
4574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
5255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
4373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
3405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
6068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
6279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
2634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
670,1.0,,,,,1.0,,,,,,,,,1.0,,14.0,14.0,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,2.7,1.7,,,,,,,,,,1.0,,17.0,100.0,,1.0,17.0,17.0,17.0,,,,,,,,,,,,1.0,255.0,,7.0,10.0,,,,998.0,914.0,333.0,,,,2013
111,,,,,,,,,,,,,1.0,1.0,,,11.0,11.0,11.0,,,,,,,,582.0,,,,,,,,,,,,,,,,,,,82.9,57.9,,,,,,,,,,25.0,,41.0,53.2,4.0,47.0,359.0,14.4,7.6,,,,,,,,,,,,,,,,,,,,1121.0,1057.0,410.0,,,,2013
1461,,,,,90.0,,,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,9.1,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,6.0,,,,,133.0,,,3.0,1.0,1.0,2.0,1106.0,1079.0,399.0,,,,2013
6446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
5701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
3404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
2370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
175,,,,,,,,,,,,,,,,,16.0,16.0,16.0,,,,,,,,1083.0,,,,,,,,,,,,,,,,,,,264.4,179.4,,,,,,,,,,85.0,,76.0,66.9,8.0,127.0,1314.0,15.5,10.3,,,,,,,,,,,,,6.0,,,,,,,1050.0,1122.0,411.0,,,,2013
1666,,,,1.0,56.0,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.0,,6.0,15.0,2.0,,7.0,837.0,789.0,302.0,,,,2013
5671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
5602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
4036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
2156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
6618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
6271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
408,,,,4.0,564.0,,2.0,,,,,,,,,,15.0,15.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2,48.2,,,,,,,,,5.0,,,,,,,,,,,,,,,,2.0,22.0,,,,,72.0,,,30.0,10.0,2.0,20.0,1076.0,1136.0,431.0,,,,2013
311,,,,,,,,,,,,,1.0,1.0,,-7.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,-2.0,48.8,,33.0,42.4,3602.0,7.0,4149.0,85.0,,,,,,,,,,,,1.0,,,,,,,,,,,157.0,,2.0,2.0,,,,1144.0,1027.0,443.0,,,,2013
2313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
2560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
