,blk_kick,blk_kick_ret_yd,cmp_pct,def_pass_def,def_snp,def_td,ff,fg_blkd,fga,fgm,fgm_0_19,fgm_20_29,fgm_30_39,fgm_40_49,fgm_50p,fgm_lng,fgm_pct,fum,fum_lost,fum_rec,fum_ret_yd,gms_active,gp,gs,int,int_ret_yd,kr,kr_lng,kr_td,kr_yd,kr_ypa,off_snp,pass_2pt,pass_att,pass_cmp,pass_int,pass_lng,pass_rtg,pass_sack,pass_sack_yds,pass_td,pass_yd,pass_ypa,pass_ypc,pr,pr_lng,pr_td,pr_yd,pr_ypa,pts_allow,pts_ppr,pts_std,punt_avg,punt_blkd,punt_in_20,punt_net_avg,punt_net_yd,punt_tb,punt_yds,punts,qb_hit,rec,rec_2pt,rec_lng,rec_pct,rec_td,rec_tgt,rec_yd,rec_ypr,rec_ypt,rush_2pt,rush_att,rush_lng,rush_td,rush_yd,rush_ypa,sack,sack_yd,safe,safe_allow,st_ff,st_fum_rec,st_snp,st_td,st_tkl_solo,tkl,tkl_ast,tkl_loss,tkl_solo,tm_def_snp,tm_off_snp,tm_st_snp,xp_blkd,xpa,xpm,year
3182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
309,,,,1.0,88.0,,,,,,,,,,,,,,,,,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,5.0,2.0,,3.0,703.0,722.0,240.0,,,,2014
815,,,,,7.0,,,,,,,,,,,,,,,,,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.0,,11.0,15.0,,,,1016.0,1088.0,355.0,,,,2014
5112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
5416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
4125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
5033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
42,,,,1.0,476.0,,2.0,,,,,,,,,,,,,,,15.0,15.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,58.9,58.9,,,,,,,,,8.0,,,,,,,,,,,,,,,,5.0,29.0,,,,,72.0,,,24.0,4.0,9.0,20.0,1057.0,1059.0,344.0,,,,2014
2720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
3207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
194,,,,,,,,,,,,,,,,,,1.0,1.0,,,15.0,15.0,15.0,,,,,,,,859.0,,,,,,,,,,,,,,,,,,,151.9,87.9,,,,,,,,,,64.0,,80.0,55.2,2.0,116.0,779.0,12.2,6.7,,,,,,,,,,,,,,,,,,,,1046.0,1155.0,409.0,,,,2014
2338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
36,,,68.2,,,,,,,,,,,,,,,1.0,1.0,,,16.0,4.0,,,,,,,,,82.0,,44.0,30.0,,32.0,102.56,2.0,7.0,2.0,301.0,6.8,10.0,,,,,,,16.94,16.94,,,,,,,,,,,,,,,,,,,,8.0,,,-11.0,-1.4,,,,,,,,,,,,,,1046.0,1155.0,409.0,,,,2014
1702,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,,,,,,,,,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0,,,,,,,1093.0,1050.0,355.0,,,,2014
775,,,,,,,,1.0,37.0,31.0,,10.0,10.0,9.0,2.0,58.0,83.8,,,1.0,,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.0,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,167.0,,1.0,2.0,,,1.0,971.0,1057.0,349.0,,41.0,41.0,2014
5265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
5965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
800,,,,5.0,903.0,,,,,,,,,,,,,1.0,,,,15.0,15.0,14.0,1.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,72.5,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,75.0,25.0,2.0,50.0,1078.0,1062.0,330.0,,,,2014
3275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
963,,,,,,,1.0,,,,,,,,,,,,,,,13.0,13.0,7.0,,,,,,,,325.0,,,,,,,,,,,,,,,,,,,11.1,4.1,,,,,,,,,,7.0,,11.0,63.6,,11.0,41.0,5.9,3.7,,,,,,,,,,,,,166.0,,1.0,1.0,,,,1094.0,994.0,350.0,,,,2014
497,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,1.0,28.0,40.8,3593.0,7.0,4118.0,88.0,,,,,,,,,,,,,,,,,,,,,,,146.0,,,,,,,1141.0,966.0,364.0,,,,2014
6313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
4960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
4286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
2478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
4,,,,,,,,,,,,,,,,,,3.0,1.0,,,14.0,14.0,14.0,,,,,,,,870.0,,,,,,,,,,,,,,,,,,,212.1,132.1,,,,,,,,,,80.0,,39.0,64.5,7.0,124.0,921.0,11.5,7.4,,,,,,,,,,,,,1.0,,,,,,,1083.0,1081.0,345.0,,,,2014
6247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
5740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
6316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
2735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
4368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
4563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
5378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
5850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
2196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,65.0,21.0,,,,2014
2464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
5026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
752,,,,,337.0,,,,,,,,,,,,,,,1.0,,16.0,16.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,40.9,40.9,,,,,,,,,9.0,,,,,,,,,,,,,,,,4.0,29.0,,,,1.0,106.0,,4.0,22.0,4.0,3.0,13.0,971.0,1057.0,349.0,,,,2014
4663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
6252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
1479,,,,,,,,,,,,,,,,,,2.0,2.0,,,14.0,14.0,14.0,,,,,,,,837.0,,,,,,,,,,,,,11.0,29.0,,99.0,9.0,,175.3,98.3,,,,,,,,,,77.0,,35.0,63.6,4.0,121.0,783.0,10.2,6.5,,,,,,,,,,,,,41.0,,1.0,1.0,,,,1045.0,1068.0,379.0,,,,2014
3768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
1541,,,,,582.0,,2.0,,,,,,,,,,,,,,,16.0,16.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,19.5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,100.0,,,17.0,11.0,1.0,6.0,1083.0,1081.0,345.0,,,,2014
6240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
3660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
1616,,,,,52.0,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,5.9,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.5,4.0,,,,,322.0,,9.0,15.0,3.0,,2.0,1059.0,1007.0,368.0,,,,2014
1291,,,,7.0,889.0,,,,,,,,,,,,,,,,,14.0,14.0,13.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,90.5,90.5,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,67.0,,1.0,92.0,39.0,4.0,52.0,1122.0,1062.0,378.0,,,,2014
3428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
1704,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.0,,14.0,16.0,,,,1047.0,1004.0,388.0,,,,2014
4604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
3345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
4189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
3016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
4541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
4636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
1268,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,2.0,,,,,,,,387.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.0,,,,,,,1070.0,1140.0,384.0,,,,2014
4573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
2164,,,,,6.0,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,1.0,,,1.0,1082.0,1024.0,309.0,,,,2014
384,,,,3.0,188.0,,2.0,,,,,,,,,,,,,,,14.0,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,29.8,,,,,,,,,,,,,,,,,,,,1.0,13.0,,13.0,13.0,,,,,,,312.0,,3.0,25.0,5.0,1.0,16.0,1071.0,1128.0,406.0,,,,2014
5070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
4256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
6678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
6573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
966,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,139.0,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,29.8,17.8,,,,,,,,,,12.0,,27.0,66.7,1.0,18.0,118.0,9.8,6.6,,,,,,,,,,,,,5.0,,,,,,,381.0,405.0,146.0,,,,2014
444,,,,14.0,1157.0,1.0,1.0,,,,,,,,,,,,,1.0,,16.0,16.0,16.0,3.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,105.5,105.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,197.0,,3.0,79.0,15.0,3.0,60.0,1162.0,1176.0,454.0,,,,2014
5181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
3244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
323,,,,,,,,,,,,,,,,,,5.0,3.0,,,15.0,15.0,15.0,,,,,,,,650.0,,,,,,,,,,,,,,,,,,,250.4,210.4,,,,,,,,,,40.0,,30.0,67.8,5.0,59.0,291.0,7.3,4.9,,206.0,63.0,9.0,1033.0,5.0,,,,,,,,,,1.0,,,1.0,1059.0,1007.0,368.0,,,,2014
5105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
186,,,,1.0,738.0,,1.0,,,,,,,,,,,,,,,16.0,16.0,15.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,107.0,107.0,,,,,,,,,20.0,,,,,,,,,,,,,,,,10.5,60.0,,,,,2.0,,,40.0,6.0,16.0,34.0,1071.0,1128.0,406.0,,,,2014
106,,,,,420.0,,,,,,,,,,,,,,,,,16.0,15.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,41.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,0.5,5.0,,,,,6.0,,,36.0,7.0,4.0,29.0,1047.0,1004.0,388.0,,,,2014
5375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
1902,,,,2.0,118.0,,,,,,,,,,,,,,,,,5.0,5.0,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,9.0,,,9.0,1164.0,1051.0,391.0,,,,2014
3331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
778,,,,2.0,135.0,,,,,,,,,,,,,,,,,5.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,2.0,12.0,2.0,1.0,7.0,317.0,349.0,144.0,,,,2014
5127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
5167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
4968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
6174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
4445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
816,,,,,154.0,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,12.8,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,8.0,,,,,31.0,,,12.0,8.0,1.0,4.0,1016.0,1088.0,355.0,,,,2014
6744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
3297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
5764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
1568,,,,,,,1.0,,,,,,,,,,,,,,,14.0,14.0,3.0,,,1.0,9.0,,9.0,9.0,404.0,,,,,,,,,,,,,1.0,90.0,1.0,90.0,90.0,,80.8,50.8,,,,,,,,,,30.0,,38.0,65.2,1.0,46.0,435.0,14.5,9.5,,1.0,13.0,,13.0,13.0,,,,,,,143.0,1.0,2.0,2.0,,,,932.0,876.0,342.0,,,,2014
5386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
289,,,69.2,,,,,,,,,,,,,,,7.0,3.0,,-22.0,16.0,16.0,16.0,,,,,,,,1140.0,,659.0,456.0,17.0,69.0,97.0,29.0,186.0,33.0,4952.0,7.5,10.9,,,,,,,303.98,302.98,,,,,,,,,,1.0,,1.0,100.0,,1.0,1.0,1.0,1.0,,27.0,13.0,1.0,68.0,2.5,,,,,,,,,,,,,,1070.0,1140.0,384.0,,,,2014
322,,,,,,,,,,,,,,,,,,1.0,,,,16.0,16.0,14.0,,,,,,,,771.0,,,,,,,,,,,,,,,,,,,223.1,154.1,,,,,,,,,,69.0,,34.0,70.4,12.0,98.0,821.0,11.9,8.4,,,,,,,,,,,,,,,,,,,,1045.0,1068.0,379.0,,,,2014
5192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
1483,,,,2.0,129.0,,,,,,,,,,,,,,,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,1.0,10.0,,,9.0,1045.0,1068.0,379.0,,,,2014
3386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
5228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
1979,,,58.9,,,,,,,,,,,,,,,7.0,1.0,,-6.0,16.0,14.0,13.0,,,,,,,,896.0,1.0,475.0,280.0,17.0,63.0,69.51,55.0,345.0,11.0,2907.0,6.1,10.4,,,,,,,168.18,168.18,,,,,,,,,,,,,,,,,,,,56.0,34.0,,419.0,7.5,,,,1.0,,,,,,,,,,1121.0,1037.0,406.0,,,,2014
513,,,,6.0,531.0,,,,,,,,,,,,,,,1.0,26.0,15.0,15.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6,42.6,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,11.0,,,,,124.0,,1.0,33.0,9.0,2.0,23.0,1046.0,1155.0,409.0,,,,2014
2409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
6165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
5779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
6539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
3217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
3780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
3733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
81,,,,1.0,541.0,,,,,,,,,,,,,,,1.0,,15.0,15.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9,44.9,,,,,,,,,5.0,,,,,,,,,,,,,,,,3.5,14.0,,,,,73.0,,,27.0,9.0,5.0,18.0,1049.0,1095.0,421.0,,,,2014
209,,,,,694.0,,,,,,,,,,,,,,,,,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,40.2,,,,,,,,,8.0,,,,,,,,,,,,,,,,2.0,12.0,,,,,75.0,,,31.0,16.0,4.0,15.0,1083.0,1081.0,345.0,,,,2014
26,,,,10.0,924.0,1.0,1.0,,,,,,,,,,,,,,,16.0,16.0,16.0,4.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,83.5,83.5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,149.0,,,62.0,23.0,,39.0,1028.0,1104.0,391.0,,,,2014
3776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
3518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
5689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
242,,,,13.0,1013.0,1.0,1.0,,,,,,,,,,,,,,,16.0,16.0,16.0,5.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,90.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,,57.0,10.0,1.0,47.0,1049.0,1095.0,421.0,,,,2014
5100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
