,blk_kick,blk_kick_ret_yd,cmp_pct,def_pass_def,def_snp,def_td,ff,fg_blkd,fga,fgm,fgm_0_19,fgm_20_29,fgm_30_39,fgm_40_49,fgm_50p,fgm_lng,fgm_pct,fum,fum_lost,fum_rec,fum_ret_yd,gms_active,gp,gs,int,int_ret_yd,kr,kr_lng,kr_td,kr_yd,kr_ypa,off_snp,pass_2pt,pass_att,pass_cmp,pass_int,pass_lng,pass_rtg,pass_sack,pass_sack_yds,pass_td,pass_yd,pass_ypa,pass_ypc,pr,pr_lng,pr_td,pr_yd,pr_ypa,pts_allow,pts_ppr,pts_std,punt_avg,punt_blkd,punt_in_20,punt_net_avg,punt_net_yd,punt_tb,punt_yds,punts,qb_hit,rec,rec_2pt,rec_lng,rec_pct,rec_td,rec_tgt,rec_yd,rec_ypr,rec_ypt,rush_2pt,rush_att,rush_lng,rush_td,rush_yd,rush_ypa,sack,sack_yd,safe,safe_allow,st_ff,st_fum_rec,st_snp,st_td,st_tkl_solo,tkl,tkl_ast,tkl_loss,tkl_solo,tm_def_snp,tm_off_snp,tm_st_snp,xp_blkd,xpa,xpm,year
2050,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,7.0,,,1.0,22.0,,22.0,22.0,373.0,,,,,,,,,,,,,,,,,,,145.3,109.3,,,,,,,,,,36.0,,50.0,80.0,1.0,45.0,271.0,7.5,6.0,,160.0,52.0,3.0,582.0,3.6,,,,,,,16.0,,,,,,,1045.0,1068.0,379.0,,,,2014
1216,1.0,,,,96.0,,1.0,,,,,,,,,,,,,1.0,,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,332.0,,14.0,26.0,,,8.0,1057.0,1059.0,344.0,,,,2014
1154,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,4.5,2.5,,,,,,,,,,2.0,,21.0,40.0,,5.0,25.0,12.5,5.0,,,,,,,,,,,,,2.0,,,,,,,1045.0,1093.0,340.0,,,,2014
4981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
4440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
4614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
4237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
3573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
1191,,,,6.0,758.0,,1.0,,,,,,,,,,,,,1.0,,15.0,15.0,9.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,74.1,74.1,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,6.0,,,,,156.0,,1.0,53.0,3.0,1.0,49.0,1070.0,1140.0,384.0,,,,2014
1080,,,,1.0,208.0,,,,,,,,,,,,,,,,,5.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,15.0,,,17.0,10.0,,7.0,577.0,533.0,198.0,,,,2014
2383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
6374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
2025,,,,,,,1.0,,,,,,,,,,,,,,,12.0,12.0,2.0,,,1.0,21.0,,21.0,21.0,216.0,,,,,,,,,,,,,,,,,,,42.0,26.0,,,,,,,,,,16.0,,48.0,57.1,,28.0,260.0,16.2,9.3,,,,,,,,,,,1.0,,98.0,,3.0,3.0,,,,1059.0,1007.0,368.0,,,,2014
6160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
1707,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3,,25.0,39.2,3644.0,9.0,4119.0,93.0,,,,,,,,,,,,,,,,,,,,,,,165.0,,,,,,,1164.0,1051.0,391.0,,,,2014
199,,,,,,,,,,,,,,,,,,,,1.0,,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,161.0,,,3.0,,,,1116.0,1029.0,358.0,,,,2014
929,,,,10.0,405.0,,1.0,,,,,,,,,,,,,,,13.0,13.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.0,,3.0,28.0,1.0,1.0,24.0,1093.0,1050.0,355.0,,,,2014
4218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
2446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
6333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
2653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
1369,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,2.0,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,5.3,3.3,,,,,,,,,,2.0,,16.0,100.0,,2.0,30.0,15.0,15.0,,1.0,3.0,,3.0,3.0,,,,,,,12.0,,,,,,,253.0,279.0,85.0,,,,2014
5527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
4720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
909,,,,2.0,313.0,,,,,,,,,,,,,,,,1.0,15.0,15.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2,48.2,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,,,,1.0,363.0,,4.0,52.0,16.0,4.0,31.0,1054.0,1128.0,402.0,,,,2014
